gateway,unique_node_count,serving_node_count
1C:49:7B:F3:CE:CB,5,58
1C:49:7B:F3:CE:F2,22,103
58:13:D3:1B:E8:8E,11,52
58:13:D3:1B:E8:94,11,50
58:13:D3:1B:E8:A0,14,64
58:13:D3:1B:E8:BB,8,100
58:13:D3:1B:E8:C1,12,106
58:13:D3:1B:E9:3F,29,54
58:13:D3:1B:E9:9C,23,67
58:13:D3:1B:E9:FC,15,29
58:13:D3:1B:EC:3C,25,27
58:13:D3:1B:ED:8F,11,17
58:13:D3:1B:EF:12,9,9
58:13:D3:1B:EF:FF,18,18
58:13:D3:1B:F0:26,22,36
58:13:D3:1B:F0:4D,60,111
58:13:D3:40:49:B6,7,92
58:13:D3:40:49:BA,7,91
58:13:D3:40:49:F7,10,61
58:13:D3:40:4A:4F,8,95
58:13:D3:40:4A:54,0,35
58:13:D3:40:4A:55,5,104
58:13:D3:40:4A:59,16,82
58:13:D3:40:4A:92,0,58
58:13:D3:40:4A:9B,8,75
58:13:D3:40:4A:9F,3,52
58:13:D3:40:4A:B5,45,262
58:13:D3:40:4A:B6,25,277
58:13:D3:40:4A:B7,9,112
58:13:D3:40:4A:D9,10,57
58:13:D3:45:B3:93,10,214
58:13:D3:45:B3:AB,76,403
58:13:D3:45:B3:D2,0,16
58:13:D3:45:B4:59,0,79
58:13:D3:45:B4:D7,6,115
58:13:D3:45:B5:C4,0,38
58:13:D3:45:B5:FA,0,66
58:13:D3:45:B9:4E,87,344
58:13:D3:4D:94:BB,8,53
58:13:D3:4D:95:00,17,133
58:13:D3:4E:36:CD,3,122
58:13:D3:4E:36:FA,20,315
58:13:D3:4E:37:69,2,23
58:13:D3:4E:38:08,57,187
58:13:D3:4E:38:23,11,141
58:13:D3:4E:38:47,54,270
58:13:D3:4E:38:80,23,151
58:13:D3:4E:38:C5,1,83
58:13:D3:4E:39:85,5,44
58:13:D3:4E:39:DF,25,132
58:13:D3:4E:3A:0F,5,73
58:13:D3:4E:3A:B1,12,70
58:13:D3:4E:3A:D2,1,53
58:13:D3:4E:3A:E7,40,222
58:13:D3:4E:3B:14,88,238
58:13:D3:4E:3B:2C,67,349
58:13:D3:65:06:78,16,88
79:FF:FE:8E:09:38,90,502
79:FF:FE:8E:09:58,88,355
79:FF:FE:8E:11:40,148,475
79:FF:FE:8E:14:08,126,605
79:FF:FE:8E:28:68,56,488
79:FF:FE:8E:28:D0,49,201
80:02:9C:1A:F2:CD,19,123
80:02:9C:1A:F2:DF,15,176
80:02:9C:1A:F2:E8,4,38
80:02:9C:1A:F2:F1,18,103
80:02:9C:1A:F3:06,2,64
80:02:9C:1A:F3:21,59,157
80:02:9C:1A:F3:51,1,213
80:02:9C:1A:F3:5A,6,85
80:02:9C:1A:F3:5D,8,74
80:02:9C:1A:F3:63,2,46
80:02:9C:1A:F3:66,3,60
80:02:9C:1A:F3:72,21,105
80:02:9C:1A:F3:87,15,145
80:02:9C:1A:F3:93,38,295
80:02:9C:1A:F3:A2,4,65
80:02:9C:1A:F3:B1,40,161
80:02:9C:1A:F3:BD,28,164
80:02:9C:1A:F3:C0,24,71
80:02:9C:1A:F3:DE,10,69
80:02:9C:1A:F3:E7,22,91
80:02:9C:1A:F4:02,5,53
80:02:9C:1A:F4:1A,4,69
80:02:9C:1A:F4:3B,0,120
80:02:9C:1A:F4:83,17,116
80:02:9C:1A:F4:92,32,160
80:02:9C:1A:F4:C8,23,136
80:02:9C:1A:F4:CE,17,45
80:02:9C:1A:F5:31,2,43
80:02:9C:1A:F5:3A,10,52
80:02:9C:1A:F5:3D,9,104
80:02:9C:1A:F5:4F,16,56
80:02:9C:1A:F5:67,52,178
