DevEui,JoinEui,Class,PRR,Total Messages,updf,upinfo,dntxed,joining,joined,dnfail,dnacked,Initial FCntUp,Last FCntUp,Expected Packets,Received Packets
00-95-69-06-00-00-EF-BA,00-00-00-00-00-00-00-00,C,98.14%,16469,4867,4867,3577,33,5,960,2160,273,428,4959,4867
00-95-69-06-00-02-1A-69,00-00-00-00-00-00-00-00,C,100.00%,20299,5943,5943,4812,39,5,865,2692,368,428,5943,5943
10-00-00-02-3F-3D-AC-0F,N/A,A,94.84%,1029,514,515,0,0,0,0,0,911,524,543,515
92-30-00-01-00-00-01-52,92-30-00-02-00-00-01-52,C,96.88%,132,62,62,0,4,4,0,0,6,12,64,62
00-95-69-06-00-02-1A-8B,00-00-00-00-00-00-00-00,C,99.73%,8331,1112,1112,1237,141,2,4440,287,13,492,1115,1112
00-95-69-0E-00-00-16-C4,01-02-03-04-05-06-07-08,Unknown,100.00%,3150,0,0,0,3150,0,0,0,N/A,N/A,0,0
00-95-69-0E-00-00-15-E0,01-02-03-04-05-06-07-08,Unknown,100.00%,3226,0,0,0,3226,0,0,0,N/A,N/A,0,0
00-95-69-06-00-01-2A-F8,N/A,Unknown,100.00%,5786,0,0,0,0,0,5786,0,N/A,N/A,0,0
00-95-69-06-00-01-2A-F0,00-00-00-00-00-00-00-00,C,99.93%,9107,1371,1371,2409,101,4,3456,395,13,492,1372,1371
00-95-69-06-00-01-2B-D9,00-00-00-00-00-00-00-00,C,99.87%,12888,3096,3096,1815,25,2,3671,1183,4699,521,3100,3096
10-00-00-02-3F-3D-AC-19,N/A,A,98.26%,2224,1072,1072,40,0,0,0,40,81757,82847,1091,1072
00-95-69-0E-00-00-16-10,01-02-03-04-05-06-07-08,Unknown,100.00%,2554,0,0,0,2554,0,0,0,N/A,N/A,0,0
00-95-69-0E-00-00-16-82,01-02-03-04-05-06-07-08,Unknown,100.00%,3121,0,0,0,3121,0,0,0,N/A,N/A,0,0
10-00-00-02-3F-3D-AC-78,N/A,A,98.26%,2225,1073,1073,39,0,0,0,40,82060,83151,1092,1073
92-30-00-01-00-00-01-85,92-30-00-02-00-00-01-85,C,98.33%,126,59,59,0,4,4,0,0,2,7,60,59
10-00-00-02-3F-3D-AC-A8,N/A,A,92.63%,1006,503,503,0,0,0,0,0,910,524,543,503
10-00-00-02-3F-3D-AC-AA,N/A,A,99.08%,1078,539,539,0,0,0,0,0,912,524,544,539
00-95-69-0E-00-00-16-22,01-02-03-04-05-06-07-08,C,100.00%,235,73,73,0,84,5,0,0,0,29,73,73
10-00-00-02-3F-3D-AC-68,N/A,A,87.77%,1852,926,926,0,0,0,0,0,78337,79391,1055,926
A8-17-58-FF-FE-06-3E-DD,N/A,A,100.00%,228,114,114,0,0,0,0,0,2996,3109,114,114
00-95-69-06-00-01-3B-98,00-00-00-00-00-00-00-00,Unknown,100.00%,12507,2948,2948,2954,141,5,2078,1433,1294,61,2948,2948
47-5B-41-F2-00-3C-00-1D,N/A,C,96.32%,1048,524,524,0,0,0,0,0,11245,11788,544,524
92-30-00-01-00-00-02-54,92-30-00-02-00-00-02-54,C,100.00%,128,60,60,0,4,4,0,0,6,12,60,60
92-30-00-01-00-00-03-56,92-30-00-02-00-00-03-56,C,95.31%,133,61,61,0,6,5,0,0,16,4,64,61
10-00-00-02-3F-3D-AC-C4,N/A,A,96.16%,2184,1052,1052,42,0,0,0,38,81806,82899,1094,1052
00-95-69-0E-00-00-16-8F,01-02-03-04-05-06-07-08,Unknown,60.96%,2534,178,178,0,2152,26,0,0,0,4,292,178
10-00-00-02-3F-3D-AC-4D,N/A,A,98.63%,2248,1080,1080,46,0,0,0,42,81783,82877,1095,1080
92-30-00-01-00-00-06-11,92-30-00-02-00-00-06-11,C,95.00%,84,38,38,0,4,4,0,0,6,10,40,38
10-00-00-02-3F-3D-AC-54,N/A,A,98.86%,2090,1045,1045,0,0,0,0,0,79110,80166,1057,1045
10-00-00-02-3F-3D-AC-7C,N/A,A,99.26%,1078,539,539,0,0,0,0,0,911,523,543,539
A8-17-58-FF-FE-04-AC-93,N/A,A,91.67%,66,33,33,0,0,0,0,0,86085,86120,36,33
10-00-00-02-3F-3D-AC-5D,N/A,A,99.24%,2092,1046,1046,0,0,0,0,0,79113,80166,1054,1046
10-00-00-02-3F-3D-AC-01,N/A,A,98.20%,2072,1036,1036,0,0,0,0,0,79076,80130,1055,1036
10-00-00-02-3F-3D-AC-21,N/A,A,89.43%,2046,981,981,46,0,0,0,38,130808,131904,1097,981
A8-17-58-FF-FE-04-AB-9D,N/A,A,100.00%,72,36,36,0,0,0,0,0,86089,86124,36,36
00-95-69-0E-00-00-16-DE,01-02-03-04-05-06-07-08,Unknown,100.00%,2509,0,0,0,2509,0,0,0,N/A,N/A,0,0
00-95-69-0E-00-00-15-D1,01-02-03-04-05-06-07-08,C,100.00%,315,79,79,0,150,7,0,0,0,38,79,79
00-95-69-0E-00-00-16-65,01-02-03-04-05-06-07-08,Unknown,100.00%,2379,0,0,0,2379,0,0,0,N/A,N/A,0,0
10-00-00-02-3F-3D-AC-76,N/A,A,98.86%,2084,1042,1042,0,0,0,0,0,79070,80123,1054,1042
A8-17-58-FF-FE-06-3E-79,N/A,A,100.00%,158,79,79,0,0,0,0,0,125469,125547,79,79
10-00-00-02-3F-3D-AC-86,N/A,A,97.80%,2209,1066,1066,39,0,0,0,38,82025,83114,1090,1066
A8-17-58-FF-FE-04-AB-83,N/A,A,100.00%,72,36,36,0,0,0,0,0,86079,86114,36,36
10-00-00-02-3F-3D-AC-07,N/A,A,99.91%,2108,1054,1054,0,0,0,0,0,78283,79337,1055,1054
00-95-69-0E-00-00-17-10,01-02-03-04-05-06-07-08,C,100.00%,666,87,87,0,484,8,0,0,0,36,87,87
